playid,down,time,home,team,players,touchdown,yards_togo,total_yds,turnovers,rushing_yds,passing_yds,kicking_xpa,kicking_xpmade,kicking_fga,kicking_fgm
1312,2,Q2 09:55,True,DET,[T.Hockenson],False,10,0,0,0,0,0,0,0,0
1344,2,Q2 09:35,True,DET,"[D.Amendola, G.Haley, M.Stafford]",False,25,8,0,0,8,0,0,0,0
1368,3,Q2 08:55,True,DET,"[M.Jones, M.Stafford, A.Ogletree]",False,17,5,0,0,5,0,0,0,0
1392,4,Q2 08:14,True,DET,[M.Prater],False,12,0,0,0,0,0,0,1,0
1412,1,Q2 08:09,False,NYG,"[G.Tate, C.Jones, D.Jones]",False,10,2,0,0,2,0,0,0,0
1441,2,Q2 07:43,False,NYG,"[B.Fowler, D.Jones, J.Coleman]",False,8,12,0,0,12,0,0,0,0
1470,1,Q2 07:11,False,NYG,"[S.Barkley, D.Kennard, D.Jones]",False,10,3,0,0,3,0,0,0,0
1509,2,Q2 06:38,False,NYG,"[S.Barkley, D.Kennard]",False,7,6,0,6,0,0,0,0,0
1530,3,Q2 06:01,False,NYG,"[E.Penny, T.Flowers]",False,1,3,0,3,0,0,0,0,0
1556,1,Q2 05:32,False,NYG,"[D.Hand, R.Ellison, D.Jones]",False,10,0,0,0,0,0,0,0,0
1578,2,Q2 05:28,False,NYG,"[D.Hand, S.Barkley]",False,10,3,0,3,0,0,0,0,0
1599,3,Q2 04:45,False,NYG,"[D.Slayton, D.Jones]",True,7,28,0,0,28,0,0,0,0
1624,0,Q2 04:39,False,NYG,[A.Rosas],False,0,0,0,0,0,1,0,0,0
1640,0,Q2 04:39,True,NYG,[A.Rosas],False,0,0,0,0,0,0,0,0,0
1661,1,Q2 04:39,True,DET,"[K.Golladay, M.Stafford]",False,10,0,0,0,0,0,0,0,0
1683,2,Q2 04:33,True,DET,"[T.Carson, J.Peppers]",False,10,1,0,1,0,0,0,0,0
1704,3,Q2 03:52,True,DET,"[M.Stafford, K.Golladay, M.Thomas]",False,9,16,0,0,16,0,0,0,0
1728,1,Q2 03:17,True,DET,"[M.Golden, T.Johnson]",False,10,-1,0,-1,0,0,0,0,0
1749,2,Q2 02:38,True,DET,"[G.Haley, M.Stafford]",False,11,0,0,0,0,0,0,0,0
1768,0,,True,,[],False,0,0,0,0,0,0,0,0,0
1785,3,Q2 02:32,True,DET,"[M.Stafford, A.Ogletree, T.Johnson]",False,17,13,0,0,13,0,0,0,0
1814,0,,True,,[],False,0,0,0,0,0,0,0,0,0
1844,4,Q2 01:59,True,DET,[D.Mayo],False,4,0,0,0,0,0,0,0,0
1883,1,Q2 01:53,True,DET,"[M.Golden, T.Johnson]",False,10,3,0,3,0,0,0,0,0
1904,2,Q2 01:14,True,DET,"[M.Jones, M.Stafford, Ja.Jenkins]",False,7,5,0,0,5,0,0,0,0
1928,3,Q2 00:55,True,DET,"[G.Haley, M.Stafford, D.Amendola]",False,2,9,0,0,9,0,0,0,0
1962,0,,True,,[],False,0,0,0,0,0,0,0,0,0
1979,1,Q2 00:47,True,DET,"[K.Golladay, M.Stafford]",False,10,0,0,0,0,0,0,0,0
2001,2,Q2 00:41,True,DET,"[T.Decker, J.Peppers, T.Johnson]",False,10,6,0,6,0,0,0,0,0
2033,2,Q2 00:36,True,DET,[M.Stafford],False,14,0,0,0,0,0,0,0,0
2059,3,Q2 00:30,True,DET,"[M.Stafford, T.Johnson]",False,14,0,0,0,0,0,0,0,0
2081,4,Q2 00:25,True,DET,[M.Prater],False,14,0,0,0,0,0,0,1,1
2100,0,Q2 00:20,False,DET,"[W.Harris, D.Slayton, S.Martin]",False,0,0,0,0,0,0,0,0,0
2124,1,Q2 00:11,False,NYG,"[T.Flowers, D.Slayton, D.Jones]",False,10,0,0,0,0,0,0,0,0
2146,2,Q2 00:05,False,NYG,[D.Jones],False,10,-1,0,-1,0,0,0,0,0
2167,0,,False,,[],False,0,0,0,0,0,0,0,0,0
2184,0,Q3 15:00,True,NYG,[A.Rosas],False,0,0,0,0,0,0,0,0,0
2205,1,Q3 15:00,True,DET,"[T.Carson, B.Hill]",False,10,2,0,2,0,0,0,0,0
2226,2,Q3 14:25,True,DET,"[D.Mayo, M.Stafford, D.Amendola]",False,8,15,0,0,15,0,0,0,0
2250,1,Q3 13:51,True,DET,"[T.Carson, L.Carter]",False,10,1,0,1,0,0,0,0,0
2271,2,Q3 13:16,True,DET,"[T.Carson, A.Ogletree, L.Carter]",False,9,1,0,1,0,0,0,0,0
2292,3,Q3 12:35,True,DET,"[D.Baker, K.Golladay, M.Stafford]",False,8,25,0,0,25,0,0,0,0
2316,1,Q3 12:08,True,DET,"[D.Tomlinson, T.Johnson]",False,10,2,0,2,0,0,0,0,0
2337,2,Q3 11:33,True,DET,"[D.Amendola, M.Stafford, Ja.Jenkins]",False,8,12,0,0,12,0,0,0,0
2366,1,Q3 10:59,True,DET,"[T.Carson, D.Baker]",False,10,2,0,2,0,0,0,0,0
2387,2,Q3 10:20,True,DET,"[M.Jones, D.Baker, M.Stafford, A.Ogletree]",False,8,6,0,0,6,0,0,0,0
2411,3,Q3 09:56,True,DET,"[K.Golladay, M.Stafford]",True,2,9,0,0,9,0,0,0,0
2436,0,Q3 09:51,True,DET,[M.Prater],False,0,0,0,0,0,1,1,0,0
2452,0,Q3 09:51,False,DET,"[D.Slayton, M.Killebrew, S.Martin]",False,0,0,0,0,0,0,0,0,0
2474,1,Q3 09:44,False,NYG,"[S.Barkley, D.Harrison, J.Davis]",False,10,2,0,2,0,0,0,0,0
2495,2,Q3 09:06,False,NYG,"[S.Barkley, D.Jones, C.Jones]",False,8,38,0,0,38,0,0,0,0
