name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
M.Peters,00-0032165,no,LA,CB,5,0,3,0.0,10,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Fox,00-0032671,no,LA,DE,2,0,0,0.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Hager,00-0032248,no,LA,LB,6,0,0,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Brockers,00-0029630,no,LA,DE,14,0,0,1.5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Mayfield,00-0034855,no,CLE,QB,,,,,,1,1,3,1,0,,,,,,,,,,,,,,,229,132,12,6,2,1,1690,,,,,,,,,,,,,,,,,,9,33,10,1,0,0,53
D.Hilliard,00-0034253,no,CLE,RB,,,,,,0,0,1,0,0,,,,,,,,,,121,158,0,10,0,,,,,,,,,,,,,19,20,0,3,0,61,0,9,0,1,0,82,8,25,5,2,0,0,41
J.Landry,00-0031382,no,CLE,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,23,0,5,0,224,0,30,0,0,0,504,1,10,0,0,0,0,10
D.Johnson,00-0035628,no,CLE,RB,,,,,,,,,,,,,,,,,,,,36,36,0,2,0,,,,,,,,,,,,,,,,,,45,0,6,0,0,0,71,4,19,0,0,0,0,21
N.Chubb,00-0034791,no,CLE,RB,,,,,,3,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,0,21,0,0,0,135,134,268,114,6,0,0,738
O.Beckham,00-0031235,no,CLE,WR,,,,,,1,0,1,0,0,,,,,,,,,,,,,,,2,1,0,0,0,0,20,,,,,,-6,-6,0,1,0,241,89,34,1,0,0,488,2,11,0,0,0,0,15
D.Ratley,00-0034273,no,CLE,WR,,,,,,,,,,,,,,,,,,,,12,12,0,1,0,,,,,,,,,,,,,,,,,,65,0,8,0,0,0,103,,,,,,,
R.Higgins,00-0032977,no,CLE,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,0,3,0,0,0,48,,,,,,,
D.Njoku,00-0033885,yes,CLE,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3,4,1,0,0,37,,,,,,,
A.Seibert,00-0035145,no,CLE,K,,,,,,,,,,,10,10,203,30,13,0,11,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Gillan,00-0035042,no,CLE,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,17,388,32,1467,,,,,,,,,,,,,,,,,,,
T.Carrie,00-0031269,no,CLE,DB,4,0,1,0.0,24,0,0,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Mitchell,00-0031097,no,CLE,CB,3,0,0,0.0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.Williams,00-0035638,no,CLE,CB,3,0,0,0.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Kirksey,00-0031361,no,CLE,OLB,5,0,0,0.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O.Vernon,00-0029693,no,CLE,DE,4,1,0,2.0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Ogunjobi,00-0033905,no,CLE,DT,4,0,0,3.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Garrett,00-0033868,no,CLE,DE,7,1,0,10.0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Burnett,00-0027676,no,CLE,SS,11,0,0,2.0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.Randall,00-0032251,no,CLE,FS,5,0,0,2.0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Schobert,00-0033125,no,CLE,MLB,22,1,0,1.0,51,0,0,0,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Richardson,00-0030573,no,CLE,DT,7,0,0,0.0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Whitehead,00-0031512,no,CLE,DB,10,1,1,0.0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.Mariota,00-0032268,no,TEN,QB,,,,,,0,2,3,2,0,,,,,,,,,,,,,,,159,94,2,7,0,0,1179,,,,,,,,,,,,,,,,,,24,60,0,0,0,0,129
D.Lewis,00-0028087,no,TEN,RB,,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,0,15,0,0,0,63,17,32,0,0,0,0,57
J.Smith,00-0033858,no,TEN,TE,,,,,,,,,,,,,,,,,,,,16,16,0,1,0,,,,,,,,,,,,,,,,,,158,5,15,1,0,0,239,1,10,0,0,0,0,10
D.Henry,00-0032764,no,TEN,RB,,,,,,1,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,75,8,1,0,0,128,151,139,15,5,0,0,581
R.Tannehill,00-0029701,no,TEN,QB,,,,,,0,1,3,1,-1,,,,,,,,,,,,,,,78,57,2,5,0,0,649,,,,,,,,,,,,,,,,,,12,12,0,0,0,0,8
De.Walker,00-0024389,no,TEN,TE,,,,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,11,21,2,0,0,215,,,,,,,
A.Humphries,00-0032009,no,TEN,WR,,,,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,23,29,0,7,0,97,0,28,0,0,0,253,1,1,0,0,0,0,1
A.Brown,00-0035676,no,TEN,WR,,,,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,63,22,3,0,0,348,1,-2,0,0,0,0,-2
C.Santos,00-0031203,no,TEN,,,,,,,,,,,,8,4,147,12,12,0,12,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Kern,00-0025825,no,TEN,P,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,11,344,26,475,47,2218,,,,,,,,,,,,,1,0,0,0,0,0,0
A.Jackson,00-0033878,no,TEN,CB,0,0,0,0.0,19,1,0,1,0,0,,,,,,,,,,23,23,0,1,0,,,,,,,,,,,,,13,17,0,3,0,,,,,,,,,,,,,,
D.Jennings,00-0031972,no,TEN,WR,,,,,,,,,,,,,,,,,,,,87,92,0,7,0,,,,,,,,,,,,,,,,,,17,0,2,0,0,0,17,,,,,,,
L.Ryan,00-0030411,no,TEN,CB,18,3,3,3.5,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Johnson,00-0032763,no,TEN,NT,3,0,0,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Wake,00-0023368,no,TEN,LB,1,0,0,2.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
